DATE,HOUSE #,STREET,OVER FLOW,NOT OUT,NOT AT CURB,DETAILS,,
1/1/18,100,AVALON TRL,,x,,blocked car,,
1/1/18,113,ALLEGHENY RD,,x,,,,
1/1/18,124,OAK HILL AVE,,x,,,,
1/1/18,201,AILSIE DR,,X,,,,
1/1/18,208,COLONIAL DR,x,,,,,
1/1/18,216,HARTFORD RD,x,,,,,
1/1/18,227,CENTURY CT,,,,,,
1/1/18,300,OGLEWOOD AVE,x,,,,,
1/1/18,309,FOREST OAK DR,x,,,,,
1/1/18,317,E OKLAHOMA AVE,,x,,,,
1/1/18,361,HIAWASSEE AVE,,x,,toter was up at the house and empty,,
1/1/18,409,ALLEEN RD,,x,,,,
1/1/18,421,E WOODLAND AVE,,x,,,,
1/1/18,450,CHEROKEE BLVD,,x,,,,
1/1/18,506,NOELTON DR,,x,,,,
1/1/18,520,PRESCOTT WAY ,,,,,,
1/1/18,601,VICTOR DR,x,,,,,
1/1/18,615,HILLVIEW RD,,X,,,,
1/1/18,701,FOREST HEIGHTS RD,,x,,,,
1/1/18,712,TIPTON AVE,x,,,,,
1/1/18,725,BROOKRIDGE CIR,,x,,,,
1/1/18,801,BLACK OAK DR,,,,,,
1/1/18,812,NORAGATE RD,,x,,,,
1/1/18,841,SPRING DR ,,,,,,
1/1/18,910,FARRAGUT AVE,x,,,,,
1/1/18,929,IRWIN ST,,x,,,,
1/1/18,1004,MORRELL RD,,x,,,,
1/1/18,1017,OGLEWOOD AVE,,x,,,,
1/1/18,1040,PLEASANT KNOLL LN,,x,,,,
1/1/18,1108,GRONER DR,,x,,,,
1/1/18,1120,FAIR DR,,x,,,,
1/1/18,1168,ARMSTRONG AVE,,x,,,,
1/1/18,1213,PICKWICK RD,,x,,,,
1/1/18,1243,EXETER AVE,,x,,,,
1/1/18,1309,HOLMOUTH LN,,x,,,,
1/1/18,1325,GATEWOOD LN,,x,,,,
1/1/18,1409,BLUEBIRD DR,x,,, car blocking can ,,
1/1/18,1426,MARCONI DR,,x,,,,
1/1/18,1511,OHIO AVE ,x ,,,,,
1/1/18,1537,HAZEN ST,,x ,,,,
1/1/18,1612,FRANCIS RD,,x,,,,
1/1/18,1634,KENESAW AVE,,x,,,,
1/1/18,1708,WHITE PINE CIR,,x,,,,
1/1/18,1721,COKER AVE,,x,,,,
1/1/18,1801,CALHOUN ST,,x,,,,
1/1/18,1831,ISLAND HOME AVE,,x,,,,
1/1/18,1910,MCCLUNG AVE,,x,,,,
1/1/18,1929,WINTER WINDS LN,,x,,,,
1/1/18,2004,PAIGE ST,,x,,,,
1/1/18,2019,EDGEWOOD AVE ,,x,,,,
1/1/18,2100,HIGHLAND AVE,,x ,,,,
1/1/18,2115,CHICAGO AVE,,x,,,,
1/1/18,2149,BEREA AVE,X ,,,trash on ground ,,
1/1/18,2213,QUAIL HOLLOW RD,,x,,,,
1/1/18,2237,VIRGINIA AVE,x ,,,bags ,,
1/1/18,2307,LAUREL AVE,,x ,,,,
1/1/18,2321,SOUTH HAVEN RD,,x,,,,
1/1/18,2400,ISLAND HOME AVE,x ,,,bulky not at curb ,,
1/1/18,2420,HONEY GROVE LN,,x,,,,
1/1/18,2459,MAPLE CREST LN,,x ,,,,
1/1/18,2516,HOLBROOK DR,x ,,,,,
1/1/18,2600,FAIRMONT BLVD,,,,broken toter ,,
1/1/18,2626,SUNSET AVE,x ,,,,,
1/1/18,2714,SELMA AVE,,,,needs new cart ,,
1/1/18,2807,LINDEN AVE,,x,,,,
1/1/18,2836,BROWNING AVE,,x,,,,
1/1/18,2912,CARSON AVE,x,,,,,
1/1/18,2937,RENNOC RD,,x,,,,
1/1/18,3022,GIBBS DR,,x,,,,
1/1/18,3106,ATOKA LN,,x ,,,,
1/1/18,3118,OSWALD ST,x,,,sofa ,,
1/1/18,3203,CURTIS LN,,x,,,,
1/1/18,3223,E FIFTH AVE,x ,,,bags ,,
1/1/18,3310,KNOX LN,x,,,personal can ,,
1/1/18,3349,MAPLE GROVE WAY,x,,,dresser ,,
1/1/18,3419,LAUREL VIEW RD,x,,,2 mattress & chair,,
1/1/18,3510,LAUREL VIEW RD,x,,,,,
1/1/18,3610,ALPINE DR,,x,,,,
1/1/18,3709,MAYFIELD DR,,x,,,,
1/1/18,3808,KINGSTON PIKE,x,,,toter full of const material ,,
1/1/18,3852,KEOWEE AVE ,x,,,couch and grill ,,
1/1/18,3926,CARNATION DR,x ,,,,,
1/1/18,4016,ELDERWOOD RD,,x,,,,
1/1/18,4106,FULTON DR,,x,,,,
1/1/18,4137,DEER CREEK DR,,x,,,,
1/1/18,4210,RAVEN RD,x ,,,,,
1/1/18,4264,SAINT LUCIA LN,,x,,,,
1/1/18,4311,SHOAF LN,,x,,,,
1/1/18,4343,LARIGO DR,,x,,,,
1/1/18,4412,FULTON DR,x,,,,,
1/1/18,4503,KELLY PL,x,,,boxes ,,
1/1/18,4600,CROSBY DR,,x,,,,
1/1/18,4621,LANDON DR,,x,,,,
1/1/18,4716,SKYVIEW DR,,x,,,,
1/1/18,4809,GETTYSBURG RD,,x,,,,
1/1/18,4908,HILLDALE DR ,x,,,ex trash and pallets ,,
1/1/18,5000,MAPLE CHASE WAY,x,,,personal can ,,
1/1/18,5026,MONTE VISTA RD,x,,,,,
1/1/18,5118,DOVEWOOD WAY ,,x,,,,
1/1/18,5211,NORTHSIDE DR,,x,,,,
1/1/18,5304,SIOUX DR,x,,,,,
1/1/18,5332,JACKSBORO PIKE,,x,,,,
1/1/18,5412,MALMSBURY RD,,x,,,,
1/1/18,5501,BRIERCLIFF RD, ,x,,paint and wood in the can,,
1/1/18,5516,MATLOCK DR,,x,,,,
1/1/18,5609,KENTWOOD RD,,x,,,,
1/1/18,5657,EAGLE CREST LN,x,,,,,
1/1/18,5712,WASSMAN RD,,x,,,,
1/1/18,5804,MARILYN DR,,x,,,,
1/1/18,5835,SOLAR DR,x,,,,,
1/1/18,5915,AUTUMN OAKS LN,,x,,,,
1/1/18,5979,BEARDEN VIEW LN,,x,,,,
1/1/18,6023,BRIDGE GARDEN RD,,x,,,,
1/1/18,6116,WINTER GARDEN WAY,,x,,,,
1/1/18,6305,ELLESMERE DR,,x,,,,
1/1/18,6512,SHERWOOD DR,x,,,,,
1/1/18,6705,FERN MEADOW WAY,,x,,,,
1/1/18,6839,AVENSONG LN,,x,,,,
1/1/18,7013,DEANE HILL DR,x,,,,,
1/1/18,7114,ASHBURTON DR,,x,,,,
1/1/18,7226,IRON DUKE WAY,,x,,,,
1/1/18,7341,MANDERLY WAY,,x,,,,
1/1/18,7524,KERRI WAY,,x,,,,
1/1/18,7717,RED BAY WAY ,,x,,,,
1/1/18,7914,GLEASON DR,,X,,,,
1/1/18,8029,ELLISVILLE LN,,x,,,,
