DATE,HOUSE #,STREET,ADDRESS,CITY,STATE,OVER FLOW,NOT OUT,NOT AT CURB,DETAILS,,
1/1/2018,100,AVALON TRL,100 AVALON TRL,Knoxville,TN,,x,,blocked car,,
1/1/2018,113,ALLEGHENY RD,113 ALLEGHENY RD,Knoxville,TN,,x,,,,
1/1/2018,124,OAK HILL AVE,124 OAK HILL AVE,Knoxville,TN,,x,,,,
1/1/2018,201,AILSIE DR,201 AILSIE DR,Knoxville,TN,,X,,,,
1/1/2018,208,COLONIAL DR,208 COLONIAL DR,Knoxville,TN,x,,,,,
1/1/2018,216,HARTFORD RD,216 HARTFORD RD,Knoxville,TN,x,,,,,
1/1/2018,227,CENTURY CT,227 CENTURY CT,Knoxville,TN,,,,,,
1/1/2018,300,OGLEWOOD AVE,300 OGLEWOOD AVE,Knoxville,TN,x,,,,,
1/1/2018,309,FOREST OAK DR,309 FOREST OAK DR,Knoxville,TN,x,,,,,
1/1/2018,317,E OKLAHOMA AVE,317 E OKLAHOMA AVE,Knoxville,TN,,x,,,,
1/1/2018,361,HIAWASSEE AVE,361 HIAWASSEE AVE,Knoxville,TN,,x,,toter was up at the house and empty,,
1/1/2018,409,ALLEEN RD,409 ALLEEN RD,Knoxville,TN,,x,,,,
1/1/2018,421,E WOODLAND AVE,421 E WOODLAND AVE,Knoxville,TN,,x,,,,
1/1/2018,450,CHEROKEE BLVD,450 CHEROKEE BLVD,Knoxville,TN,,x,,,,
1/1/2018,506,NOELTON DR,506 NOELTON DR,Knoxville,TN,,x,,,,
1/1/2018,520,PRESCOTT WAY ,520 PRESCOTT WAY ,Knoxville,TN,,,,,,
1/1/2018,601,VICTOR DR,601 VICTOR DR,Knoxville,TN,x,,,,,
1/1/2018,615,HILLVIEW RD,615 HILLVIEW RD,Knoxville,TN,,X,,,,
1/1/2018,701,FOREST HEIGHTS RD,701 FOREST HEIGHTS RD,Knoxville,TN,,x,,,,
1/1/2018,712,TIPTON AVE,712 TIPTON AVE,Knoxville,TN,x,,,,,
1/1/2018,725,BROOKRIDGE CIR,725 BROOKRIDGE CIR,Knoxville,TN,,x,,,,
1/1/2018,801,BLACK OAK DR,801 BLACK OAK DR,Knoxville,TN,,,,,,
1/1/2018,812,NORAGATE RD,812 NORAGATE RD,Knoxville,TN,,x,,,,
1/1/2018,841,SPRING DR ,841 SPRING DR ,Knoxville,TN,,,,,,
1/1/2018,910,FARRAGUT AVE,910 FARRAGUT AVE,Knoxville,TN,x,,,,,
1/1/2018,929,IRWIN ST,929 IRWIN ST,Knoxville,TN,,x,,,,
1/1/2018,1004,MORRELL RD,1004 MORRELL RD,Knoxville,TN,,x,,,,
1/1/2018,1017,OGLEWOOD AVE,1017 OGLEWOOD AVE,Knoxville,TN,,x,,,,
1/1/2018,1040,PLEASANT KNOLL LN,1040 PLEASANT KNOLL LN,Knoxville,TN,,x,,,,
1/1/2018,1108,GRONER DR,1108 GRONER DR,Knoxville,TN,,x,,,,
1/1/2018,1120,FAIR DR,1120 FAIR DR,Knoxville,TN,,x,,,,
1/1/2018,1168,ARMSTRONG AVE,1168 ARMSTRONG AVE,Knoxville,TN,,x,,,,
1/1/2018,1213,PICKWICK RD,1213 PICKWICK RD,Knoxville,TN,,x,,,,
1/1/2018,1243,EXETER AVE,1243 EXETER AVE,Knoxville,TN,,x,,,,
1/1/2018,1309,HOLMOUTH LN,1309 HOLMOUTH LN,Knoxville,TN,,x,,,,
