DATE,HOUSE #,STREET,ADDRESS,CITY,STATE,OVER FLOW,NOT OUT,NOT AT CURB,DETAILS
1/2/2018,100,BONA RD,100 BONA RD,Knoxville,TN,,x,,
1/2/2018,201,ANDERSON AVE,201 ANDERSON AVE,Knoxville,TN,,X,,
1/2/2018,301,AULT ST,301 AULT ST,Knoxville,TN,,x,,
1/2/2018,361,HIAWASSEE AVE,361 HIAWASSEE AVE,Knoxville,TN,,x,,
1/2/2018,421,HIGGINS AVE,421 HIGGINS AVE,Knoxville,TN,,x,,
1/2/2018,615,LOOKOUT CT,615 LOOKOUT CT,Knoxville,TN,,X,,
1/2/2018,1004,NORTH THIRD AVE,1004 NORTH THIRD AVE,Knoxville,TN,,x,,
1/2/2018,1017,PLEASAND KNOLL LN,1017 PLEASAND KNOLL LN,Knoxville,TN,,x,,
1/2/2018,1120,FAIRFAX AVE,1120 FAIRFAX AVE,Knoxville,TN,,x,,
1/2/2018,1168,ARMSTRONG AVE,1168 ARMSTRONG AVE,Knoxville,TN,x,,,
1/2/2018,1801,CHARLES DR,1801 CHARLES DR,Knoxville,TN,,x,,
1/2/2018,1910,MISSISSIPPI AVE,1910 MISSISSIPPI AVE,Knoxville,TN,,x,,
1/2/2018,2149,DANDRIDGE AVE,2149 DANDRIDGE AVE,Knoxville,TN,x ,,,
1/2/2018,2213,BERNHURST DR,2213 BERNHURST DR,Knoxville,TN,,,x ,
1/2/2018,2321,SUN VALLEY RD,2321 SUN VALLEY RD,Knoxville,TN,,x ,,
1/2/2018,2600,FENWOOD DR,2600 FENWOOD DR,Knoxville,TN,x ,,,
1/2/2018,2626,BARTON ST,2626 BARTON ST,Knoxville,TN,,x,,
1/2/2018,2714,SUMMIT AVE,2714 SUMMIT AVE,Knoxville,TN,,,,building material 
1/2/2018,2807,PRUDEN DR,2807 PRUDEN DR,Knoxville,TN,,x,,
1/2/2018,3106,BIRCHWOOD RD,3106 BIRCHWOOD RD,Knoxville,TN,,x,,toilet 
1/2/2018,3119,CHERRYWOOD RD,3119 CHERRYWOOD RD,Knoxville,TN,x,,,sofa
1/2/2018,3310,MONMOUTH ST,3310 MONMOUTH ST,Knoxville,TN,,x,,
1/2/2018,3610,BUFFAT MILL RD,3610 BUFFAT MILL RD,Knoxville,TN,,x,,
1/2/2018,3808,KNOX LN,3808 KNOX LN,Knoxville,TN,x,,,
1/2/2018,3926,FOREST GLEN DR,3926 FOREST GLEN DR,Knoxville,TN,x ,,x,pic every week 
1/2/2018,4210,ROBERT LOVE DR,4210 ROBERT LOVE DR,Knoxville,TN,x ,,,
1/2/2018,4264,VALENVCIA RD ,4264 VALENVCIA RD ,Knoxville,TN,,x,,
1/2/2018,4311,VALLEY VIEW DR,4311 VALLEY VIEW DR,Knoxville,TN,,x,,
1/2/2018,4504,BARBARA DR,4504 BARBARA DR,Knoxville,TN,,x,,
1/2/2018,4716,BUFFAT MILL RD,4716 BUFFAT MILL RD,Knoxville,TN,,x,,
1/2/2018,5118,EVELYN DR,5118 EVELYN DR,Knoxville,TN,,x,,
1/2/2018,5412,MAYWOOD RD,5412 MAYWOOD RD,Knoxville,TN,,x,,
1/2/2018,5501,CRESTWOOD DR,5501 CRESTWOOD DR,Knoxville,TN,x,,,move out
1/2/2018,5516,PAULA RD,5516 PAULA RD,Knoxville,TN,,x,,
1/2/2018,5609,LAKE SHORE DR,5609 LAKE SHORE DR,Knoxville,TN,,x,,
1/2/2018,6116,BURLWOOD RD,6116 BURLWOOD RD,Knoxville,TN,,x,,
1/2/2018,6512,TEWKSBURY DR,6512 TEWKSBURY DR,Knoxville,TN,,,x,
1/2/2018,6839,DORCHESTER DR,6839 DORCHESTER DR,Knoxville,TN,,,,blocked by gray car
1/2/2018,7013,DOWNING DR,7013 DOWNING DR,Knoxville,TN,,x,,cart swap needed
1/2/2018,7114,ROTHERWOOD DR,7114 ROTHERWOOD DR,Knoxville,TN,,x,,
1/2/2018,7524,LUSCOMBE DR,7524 LUSCOMBE DR,Knoxville,TN,,x,,
1/2/2018,2326 B,CEDAR LN,2326 B CEDAR LN,Knoxville,TN,,x,,
